subjekt,cena,status,ic
Bilfinger Industrial Services,30700.0,s,
Ústav chemických procesů AV ČR,30607.0,v,
"ZKL - Výzkum a vývoj, a.s.",30500.0,s,
"Dalkia Industry CZ, a.s.",30500.0,s,
"ČKD Blansko Holding, a.s.",30500.0,s,
Pražská teplárenská a.s.,30500.0,v,
SÚS Královéhradeckého kraje a.,30000.0,v,
"HLAVNÍ MĚSTO PRAHA,",30000.0,v,
"IMOS Brno, a.s.",30000.0,s,
VODÁRENSKÁ AKCIOVÁ SPOLEČNOST,29500.0,s,
BMT Medical Technology s.r.o.,29500.0,s,
I.T.I. - Integrovaná tech.,29125.0,s,
"Výzkumný ústav železniční, a.s",29000.0,v,
LEGO Production s.r.o.,29000.0,s,
Vysoká škola báňská - Technick,28500.0,vz,
ČR - Ministerstvo pro místní r,28500.0,v,
"Úřad pro normalizaci,",28070.0,v,
ARCADIS  CZ a.s.,28042.0,s,
"Kimberly - Clark, s. r. o.",28000.0,s,
JUTA a.s.,27827.0,s,
"AGROSTROJ Pelhřimov, a.s.",27690.0,s,
Liberecký kraj,27500.0,v,
Bilfinger Babcock CZ s.r.o.,27500.0,s,
MND a.s.,27500.0,s,
MPO,27379.0,v,
ŠKODA ELECTRIC a.s.,27090.0,s,
"GCE, s.r.o.",27000.0,s,
"Slovácké strojírny, a. s.",27000.0,s,
Trigema Building a.s.,27000.0,s,
e-Business Services a.s.,26918.0,s,
PBS Turbo s.r.o.,26500.0,s,
"Česká televize,  Kavčí hory",26500.0,v,
"Slovácké vodárny a kanalizace,",26500.0,s,
Dopravoprojekt Brno a.s.,26000.0,s,
"ALFA UNION,a.s.",26000.0,s,
Coal Services a.s.,26000.0,s,
"DAKO-CZ, a.s.",25800.0,s,
Univerzita Tomáše Bati ve Zlín,25737.0,vz,
Jihomoravská armaturka spol. s,25600.0,s,
Continental Automotive Czech,25500.0,s,
COLSYS s.r.o.,25500.0,s,
"ADC Czech Republic, s.r.o.",25101.0,s,
"Lovochemie, a.s.",25000.0,s,
Státní fond dopravní infrastru,25000.0,v,
DEK a.s.,25000.0,s,
Severomoravské vodovody a,25000.0,s,
"Aircraft Industries, a.s.",24500.0,s,
INELSEV Servis s.r.o.,24500.0,s,
WAVIN Ekoplastik s.r.o.,24500.0,s,
"EGE, spol. s r.o.",24000.0,s,
"BAUMIT, spol. s r.o.",24000.0,s,
FARMTEC a.s.,24000.0,s,
Provyko s.r.o.,24000.0,s,
PILSEN STEEL s.r.o.,24000.0,s,
Mondelez CR Biscuit,23500.0,s,
"VIAPONT, s.r.o.",23500.0,s,
MĚSTO UHERSKÝ BROD,23500.0,v,
"SCHOTT Flat Glass CR, s.r.o.",23500.0,s,
Národní technická knihovna,23500.0,v,
"AmpluServis,a.s.",23500.0,s,
"Pražské vodovody a kanalizace,",23000.0,s,
Lučební závody Draslovka a.s.,23000.0,s,
ČR - Ministerstvo obrany,23000.0,v,
Technická univerzita v Liberci,23000.0,vz,
Vysoká škola chemicko-technolo,23000.0,vz,
REMAK a.s.,23000.0,s,
"Huisman Konstrukce, s.r.o.",23000.0,s,
ČR - GENERÁLNÍ ŘEDITELSTVÍ CEL,22856.0,v,
UniControls a.s.,22633.0,s,
Vysoká škola technická a,22500.0,v,
"LB MINERALS,s.r.o.",22348.0,s,
FAIVELEY TRANSPORT LEKOV a.s.,22000.0,s,
TAKENAKA EUROPE GmbH -,21549.0,s,
ZAT a.s.,21500.0,s,
Bombardier Transportation Czec,21000.0,s,
"DPOV, a.s.",21000.0,s,
"Krajská zdravotní, a.s.",21000.0,v,
ČESKÁ REPUBLIKA - ÚŘAD PRO,21000.0,v,
"REKO PRAHA, a.s.",21000.0,s,
Continental Automotive Czech R,21000.0,s,
ČESKÝ BÁŇSKÝ ÚŘAD,21000.0,v,
MPS Gradior s.r.o.,21000.0,s,
TÜV SÜD Czech s.r.o.,20946.0,s,
"CHEMCOMEX Praha, a.s.",20875.0,s,
Austin Detonator s.r.o.,20500.0,s,
"Z-Group Steel Holding, a.s.",20500.0,s,
"Schindler CZ, a.s.",20500.0,s,
První brněnská strojírna Velká,20500.0,s,
"DT -Výhybkárna a strojírna, a.",20500.0,s,
ArcelorMittal Tubular Products,20500.0,s,
Ingersoll-Rand Equipment Manuf,20449.0,s,
ERA a.s.,20405.0,s,
"BEZNOSKA, s.r.o.",20246.0,s,
"ČEZ Korporátní služby, s.r.o.",20125.0,v,
ASV výrobní družstvo,20000.0,s,
Krajská správa a údržba,20000.0,v,
"Strojírny a stavby Třinec, a.s",19500.0,s,
"INFRAM, a.s.",19500.0,s,
Mettler-Toledo,19500.0,s,
Bureau Veritas,19500.0,s,
"Elektrárna Dětmarovice, a.s.",19500.0,v,
"KRÁLOVOPOLSKÁ RIA, a.s.",19500.0,s,
"Úřad pro normalizaci, metrolog",19140.0,v,
"OKIN GROUP, a.s.",19000.0,s,
ČVUT v Praze,19000.0,vz,
Poličské strojírny a.s.,19000.0,,
Centrum stavebního inženýrství,19000.0,,
Primus CE s.r.o.,18987.0,,
COFELY a.s.,18962.0,,
CONSULTEST s.r.o.,18500.0,,
Sécheron Tchequje spol.s.r.o.,18500.0,,
ELEKTROTRANS a.s.,18500.0,,
"Green Gas DPB, a.s.",18500.0,,
Vodovody a kanalizace Hradec,18500.0,,
Kalora a.s.,18500.0,,
"ČD Cargo, a.s.",18375.0,,
České vysoké učení technické v,18105.0,,
MARTIA a.s.,18000.0,,
Bosch Termotechnika s.r.o.,18000.0,,
"ESAB CZ, s.r.o., člen koncernu",18000.0,,
EKOL energo s.r.o.,18000.0,,
"VEPAK, s.r.o.",18000.0,,
Slovenský ústav technické,17730.0,,
"TEDIKO, s.r.o.",17519.0,,
"VAE CONTROLS, s. r. o.",17500.0,,
"TeamPrevent - PREPO, s.r.o.",17500.0,,
Zdravotnická záchranná služba,17500.0,,
JOHNSON CONTROLS AUTOMOBILOVÉ,17500.0,,
ETD TRANSFORMÁTORY a.s.,17500.0,,
"Olympus Czech Group, s.r.o.,",17500.0,,
"PAPCEL, a.s.",17500.0,,
Hydac spol. s r.o.,17500.0,,
"QUALIFORM, a.s.",17500.0,,
BODYCOTE  HT s.r.o.,17500.0,,
BUZULUK a.s.,17500.0,,
Seco Group a.s.,17500.0,,
Statutární město Olomouc,17500.0,,
Statutární město Pardubice,17500.0,,
LINDAB s.r.o.,17500.0,,
INCO engineering s.r.o.,17250.0,,
Střední průmyslová škola,17000.0,,
"TERMO + holding, a.s.",17000.0,,
"MERO ČR, a.s.",17000.0,,
"BREMA, spol. s r.o.",17000.0,,
ŠKODA TVC s.r.o.,17000.0,,
Plzeňská energetika a.s.,17000.0,,
RUBENA a.s.,16829.0,,
"UNIPETROL RPA, s.r.o.",16750.0,,
"Státní zkušebna zeměděl., potr",16702.0,,
ASSA ABLOY CZECH & SLOVAKIA s.,16500.0,,
Teplárna Otrokovice a.s.,16500.0,,
"Střední škola technická,",16500.0,,
"FIRESTA-Fišer, rekonstrukce,",16500.0,,
MĚSTSKÁ ČÁST PRAHA 5,16500.0,,
"PP 53, a.s.",16500.0,,
CBRE s.r.o.,16500.0,,
CCI Czech Republic s.r.o.,16500.0,,
KS Kolbenschmidt Czech,16500.0,,
"Teplárny Brno, a.s.",16500.0,,
ČD - TELEMATIKA a.s.,16500.0,,
L.P.Elektro s.r.o.,16000.0,,
Porr a.s.,16000.0,,
MS UTILITIES & SERVICES a.s.,16000.0,,
EUROMONT GROUP a.s.,16000.0,,
Česká zemědělská univerzita v,16000.0,,
"DIPRO, spol. s .r.o",16000.0,,
"TŘINECKÉ ŽELEZÁRNY, a.s.",16000.0,,
AB Facility a.s.,16000.0,,
SIGNAL PROJEKT s.r.o.,15500.0,,
"Fatra,a.s.",15500.0,,
"SVV Praha, s.r.o.",15500.0,,
ELCOM a.s.,15500.0,,
TS Plzeň a.s.,15500.0,,
"JSP, s.r.o.",15500.0,,
"SUDOP BRNO, spol. s r.o.",15500.0,,
HYDROSYSTEM project a.s.,15500.0,,
"Schneider Electric, a.s.",15500.0,,
Flexfill s.r.o.,15500.0,,
"INVELT ENERGO, spol. s r.o.",15500.0,,
"PARAMO, a.s.",15500.0,,
Saint-Gobain Co,15500.0,,
Dopravní podnik Ostrava a.s.,15500.0,,
"JIHLAVAN, a.s.",15458.0,,
"NOEN, a.s.",15375.0,,
"ADAX, spol. s r.o.",15125.0,,
AXIS a.s.,15000.0,,
"Flash Steel Power, a.s.",15000.0,,
FINEP CZ a.s.,15000.0,,
KNORR - BREMSE Systémy,15000.0,,
"STREICHER, spol. s r.o. Plzeň",15000.0,,
"ČKD Blansko Engineering, a.s.",15000.0,,
MOTA-ENGIL CENTRAL EUROPE,15000.0,,
Zeměměřický úřad,15000.0,,
"Pontex, spol. s r.o.",15000.0,,
"TESLA Jihlava, s.r.o.",14965.0,,
"AL INVEST Břidličná, a.s.",14650.0,,
Státní ústav radiační ochrany,14506.0,,
Severní energetická a.s.,14500.0,,
BPO spol.s r.o.,14500.0,,
Stavební bytové družstvo,14500.0,,
Výzkumný ústav pozem.staveb -,14500.0,,
ITT Holdings Czech Republic s.,14500.0,,
Brněnské komunikace a.s.,14500.0,,
"SITEL, spol. s r.o.",14500.0,,
HP-Pelzer s.r.o.,14500.0,,
MĚSTO KROMĚŘÍŽ,14500.0,,
"IKP Consulting Engineers, s.r.",14500.0,,
"ROCKWOOL, a.s.",14500.0,,
EPLcond a.s.,14500.0,,
Gates Hydraulics s.r.o.,14360.0,,
AQUATEST a.s.,14288.0,,
"SQZ, s.r.o.",14053.0,,
"ČVUT, Ústřední knihovna ČVUT",14000.0,,
Sandvik Chomutov Precision Tub,14000.0,,
"DURA Automotive CZ, k.s.",14000.0,,
"SEŽEV-REKO, a.s.",14000.0,,
Halla Visteon Autopal s.r.o,14000.0,,
Česká inspekce životního prost,14000.0,,
"M a v e l, a.s.",14000.0,,
ETA a.s.,14000.0,,
Unigeo a.s.,14000.0,,
Správa silnic Olomouckého,14000.0,,
Statutární město Kladno,14000.0,,
"Holcim (Česko) a.s., člen konc",14000.0,,
MOTOR JIKOV Strojírenská a.s.,14000.0,,
"Zakládání staveb,a.s.",14000.0,,
Město Lovosice,14000.0,,
Tesco Stores ČR a.s.,14000.0,,
"TÜV NORD Czech, s.r.o.",14000.0,,
"MSEM, a.s.",14000.0,,
ŽDB DRÁTOVNA a.s.,14000.0,,
AQUA PROCON s.r.o.,14000.0,,
Střední průmyslová škola stave,14000.0,,
"LASSELSBERGER, s.r.o.",13993.0,,
2 JCP a.s.,13686.0,,
BASF Stavební hmoty Česká,13500.0,,
"Technoprojekt, a.s.",13500.0,,
"MORA MORAVIA, s.r.o.",13500.0,,
M.I.S. a.s.,13500.0,,
VÍTKOVICE TESTING CENTER,13500.0,,
BOSCH DIESEL s.r.o.,13500.0,,
Stadler Praha s.r.o.,13500.0,,
"PREOL,a.s.",13500.0,,
"BETOTECH, s.r.o.",13500.0,,
Tyco Electronics Czech s.r.o.,13500.0,,
TOS VARNSDORF a.s.,13500.0,,
ČR - Český úřad zeměměřický a,13500.0,,
"HELIKA, a.s.",13500.0,,
Statutární město Přerov,13500.0,,
Výzkumný a zkušební ústav Plze,13500.0,,
"plaan czech, s.r.o.",13500.0,,
Statutární město Hradec,13500.0,,
ArcelorMittal Engineering,13500.0,,
"CEMEX Czech Republic, s.r.o.",13500.0,,
Sweco Hydroprojekt a.s.,13500.0,,
Fakultní nemocnice Olomouc,13500.0,,
Studijní a vědecká knihovna Pl,13500.0,,
ONTEX CZ s.r.o.,13375.0,,
"VVUÚ, a.s.",13289.0,,
AUTOMOTIVE LIGHTING s.r.o.,13145.0,,
Conel s.r.o.,13125.0,,
MEgA - Měřící Energetické Apar,13116.0,,
Ústav teoretické a aplikované,13000.0,,
TÜV International s.r.o.,13000.0,,
"GEMO OLOMOUC, spol. s r.o.",13000.0,,
"SD - Kolejová doprava, a.s.",13000.0,,
ATELIER TSUNAMI s.r.o.,13000.0,,
Groz-Beckert Czech s.r.o.,13000.0,,
Český hydrometeorologický ústa,13000.0,,
PLYNOSTAV - Regulace plynu a.s,13000.0,,
Elektrárna Chvaletice a.s.,13000.0,,
"DOM - ZO 13, s.r.o.",13000.0,,
"EGP INVEST, spol. s r.o.",13000.0,,
ECE Projektmanagement Praha,13000.0,,
"ASE, s.r.o.",13000.0,,
"PROTIS PLUS, s.r.o.",13000.0,,
Laird Technologies s.r.o.,12535.0,,
Caterpillar Global Mining,12500.0,,
MĚSTSKÁ ČÁST PRAHA 6,12500.0,,
Tereos TTD a.s.,12500.0,,
Univerzita J.E.Purkyně v Ústí,12500.0,,
"Brněnské vodárny a kanalizace,",12500.0,,
SANBORN a.s.,12500.0,,
"Chládek & Tintěra, a.s.",12500.0,,
MORAVIA CONSULT Olomouc a.s.,12500.0,,
Slovenská technická univerzita,12500.0,,
SAINT-GOBAIN ADFORS CZ  s.r.o.,12500.0,,
ENVIFORM a.s.,12500.0,,
"MONTPROJEKT, a.s.",12500.0,,
Contipro Pharma a.s.,12500.0,,
Optimont 2000 s.r.o.,12500.0,,
"Textilní zkušební ústav, s.p.",12141.0,,
"BETONBAU, s.r.o.",12000.0,,
Univerzita Pardubice,12000.0,,
"EKOL,spol.s r.o.",12000.0,,
"ZVVZ-Enven Engineering,a.s.",12000.0,,
"B:TECH, a. s.",12000.0,,
Siemens Electric Machines s.r.,12000.0,,
FOMA BOHEMIA spol. s r.o.,12000.0,,
BRONSWERK HEAT TRANSFER spol.,12000.0,,
"Energetické opravny, a.s.",12000.0,,
"ViskoTeepak, s.r.o.",12000.0,,
Usti Oils s.r.o.,12000.0,,
"VTL Blansko, a.s.",12000.0,,
"Plzeňský Prazdroj, a. s.",12000.0,,
BETVAR a.s.,12000.0,,
WOLTERS PACKAGING CZECH s.r.o.,11732.0,,
TIBERINA AUTOMOTIVE BĚLÁ,11592.0,,
"EMERSON CLIMATE TECHNOLOGIES,",11500.0,,
ZETOR TRACTORS a.s.,11500.0,,
Výzkumný a zkušební letecký,11500.0,,
"CHARVÁT AXL, a. s.",11500.0,,
"Mott MacDonald CZ,spol. s r",11500.0,,
METRANS a.s.,11500.0,,
Parker-Hannifin s.r.o.,11500.0,,
Lear Corporation Czech Republi,11500.0,,
Moravia Systems a.s.,11500.0,,
Městská část Praha 17,11500.0,,
ArcelorMittal Tubular,11500.0,,
"Hutnictví železa, a.s.",11500.0,,
FRISCHBETON s.r.o.,11500.0,,
MĚSTO HOLEŠOV,11500.0,,
VÚHŽ a.s.,11500.0,,
Tractebel Engineering a.s.,11500.0,,
MĚSTO MORAVSKÉ BUDĚJOVICE,11500.0,,
"Elektrodílna Dalecký, s.r.o.",11500.0,,
SPOLANA a.s.,11500.0,,
TOUAX s.r.o.,11500.0,,
"TECHNICKÉ LABORATOŘE OPAVA,",11500.0,,
"SYNPO,a.s.",11500.0,,
"SCHOTT CR, s.r.o.",11500.0,,
MĚSTSKÁ ČÁST PRAHA 19,11500.0,,
Projekční kancelář PRIS spol.,11500.0,,
EDIKT a.s.,11500.0,,
"Xella CZ, s.r.o.",11500.0,,
"LB Cemix, s.r.o.",11500.0,,
"FAVEX, s.r.o.",11500.0,,
"ALCO CONTROLS, spol. s r.o.",11500.0,,
"Centrum dopravního výzkumu, v.",11500.0,,
TRW - DAS a.s.,11500.0,,
IDS - Inženýrské a dopravní,11500.0,,
Nestlé Česko s.r.o.,11500.0,,
SEVOC automotive a.s.,11500.0,,
"BÖGL a KRÝSL, k.s.",11500.0,,
Pilz Czech s.r.o.,11500.0,,
MOSTRO a.s.,11500.0,,
Střední průmyslová škola stroj,11500.0,,
Model Obaly a.s.,11483.0,,
"KAVALIERGLASS, a.s.",11334.0,,
KOUKAAM a.s.,11000.0,,
Tyco Fire & Integrated Solutio,11000.0,,
"Povodí Ohře, státní podnik",11000.0,,
ZF Engineering Plzeň s.r.o.,11000.0,,
Sodexo s.r.o.,11000.0,,
Spectris Praha spol. s r.o.,11000.0,,
GEA Heat Exchangers  a.s.,11000.0,,
"TECHNISERV, spol. s r.o.",11000.0,,
"CONTRACTIS, s.r.o.",11000.0,,
"RONAL CR,s.r.o.",11000.0,,
QUALIFORM SLOVAKIA s.r.o.,11000.0,,
VODNÍ DÍLA - TBD a.s.,11000.0,,
MĚSTSKÁ ČÁST PRAHA 1,11000.0,,
"MICo, spol. s r.o.",11000.0,,
KAMAX s. r. o.,11000.0,,
"Bilfinger MCE Slaný, s.r.o.",11000.0,,
Kaufland Česká Republika v.o.s,11000.0,,
NC Line s.r.o.,11000.0,,
JINPO PLUS a.s.,10750.0,,
Státní veterinární ústav Jihla,10500.0,,
"Krajská nemocnice Liberec, a.s",10500.0,,
BEDNAR FMT s.r.o.,10500.0,,
DALSELV DESIGN a.s.,10500.0,,
"ELECTROPOLI-GALVIA, s. r. o.",10500.0,,
TOMI-REMONT a.s.,10500.0,,
Město Cheb,10500.0,,
VUES Brno s.r.o.,10500.0,,
ITES spol.sr.o.,10500.0,,
CIREX CZ s.r.o.,10500.0,,
"CONTEG, spol. s r.o.",10500.0,,
ARPO a. s.,10500.0,,
Řízení letového provozu České,10500.0,,
Kingspan a.s.,10500.0,,
Plynostav Pardubice a.s.,10500.0,,
"EXCON,a.s.",10500.0,,
Ammann Czech Republic a.s.,10500.0,,
Technická správa komunikací,10500.0,,
"REVIS - PRAHA, s.r.o.",10500.0,,
Saab Czech s.r.o.,10500.0,,
"RETIA, a.s.",10500.0,,
"NĚMEC POLÁK, spol. s r.o.",10500.0,,
ENERGOSERVICE CZ s.r.o.,10500.0,,
"Valbek, spol. s r.o.",10500.0,,
Nejvyšší kontrolní úřad,10500.0,,
Správa a údržba silnic Jihočes,10500.0,,
SEG s.r.o.,10500.0,,
"Wienerberger eurostroj,spol s",10500.0,,
"STÁTNÍ TISKÁRNA CENIN, státní",10500.0,,
Kermi s.r.o.,10500.0,,
"ELGAS,s.r.o.",10500.0,,
PREST PŘEROV a.s.,10500.0,,
"Schwan-STABILO ČR,s.r.o.",10500.0,,
DEZA a.s,10500.0,,
"ZVVZ MACHINERY, a.s.",10500.0,,
Behr Ostrava s.r.o.,10500.0,,
STATUTÁRNÍ MĚSTO MOST,10500.0,,
"KNOMI, společnost s ručením om",10500.0,,
Kajima Czech Design and,10500.0,,
I.B.C. Praha spol. s r.o.,10500.0,,
"Elektromont Brno, akciová spol",10500.0,,
"Sika CZ, s.r.o.",10500.0,,
Hasičský záchranný sbor Karlov,10500.0,,
G.A.M. HEAT spol. s r. o.,10500.0,,
KAP ATELIER s.r.o.,10500.0,,
ČR - Ministerstvo dopravy,10500.0,,
Link projekt s.r.o.,10500.0,,
FABIONN s.r.o.,10500.0,,
Inplan CZ s.r.o.,10500.0,,
APRIS 3MP s.r.o.,10500.0,,
Město Jaroměř,10500.0,,
"CTP Invest, spol. s r.o.",10500.0,,
"Armaturka Vranová Lhota, a.s.",10500.0,,
"První Elektro, a.s.",10500.0,,
"UNIS, a.s.",10500.0,,
SICK spol. s r.o.,10125.0,,
"První certifikační autorita, a",10063.0,,
Moravská zemská knihovna,10000.0,,
HOERBIGER ŽANDOV s.r.o.,10000.0,,
ROSS ELEKTROTECHNIK s.r.o.,10000.0,,
"Alca plast, s.r.o.",10000.0,,
Moravskoslezská vědecká,10000.0,,
BENEŠ a LÁT a.s.,10000.0,,
Severočeská vědecká knihovna,10000.0,,
"Dodávky automatizace,spol.s.r.",10000.0,,
"Veletrhy Brno, a.s.",10000.0,,
Krajská knihovna Františka,10000.0,,
ČR - NÁRODNÍ BEZPEČNOSTNÍ ÚŘAD,10000.0,,
"Česká zbrojovka,a.s.",10000.0,,
Krajská knihovna Karlovy Vary,10000.0,,
Jihočeská vědecká knihovna,10000.0,,
ELVAC a.s.,10000.0,,
"Motor Jikov Slévárna, a.s.",10000.0,,
Krajská vědecká knihovna v,10000.0,,
Ardagh Metal Packaging Czech,10000.0,,
Městská knihovna Benešov,10000.0,,
Fakultní nemocnice Plzeň,10000.0,,
Vědecká knihovna v Olomouci,10000.0,,
Studijní a vědecká knihovna,10000.0,,
STACHEMA CZ s.r.o.,10000.0,,
"Lafarge Cement, a.s.",10000.0,,
"Ústav geoniky AV ČR, v.v.i.",10000.0,,
