subjekt,cena,status,ic
fyzická osoba,11565224.0,s,0
"ČEZ, a.s.",1097000.0,v,45274649
Český plynárenský svaz,970250.0,s,409928
NORMSERVIS s.r.o.,950276.0,s,26249324
"ČEZ Distribuce, a. s.",730000.0,v,24729035
ŠKODA PRAHA Invest s.r.o.,582500.0,s,27257517
Skanska a.s.,357949.0,s,26271303
ŠKODA TRANSPORTATION a.s.,344000.0,s,62623753
ŠKODA JS a.s.,339000.0,s,25235753
"Dálniční stavby Praha, a.s.",338000.0,s,40614948
Metrostav a.s.,325000.0,s,14915
DOOSAN ŠKODA POWER s.r.o.,296000.0,s,49193864
ČR-Státní úřad inspekce prác,280000.0,v,75046962
"Siemens, s.r.o.",272000.0,s,268577
"DOPRAVNÍ PODNIK HL.M.PRAHY,",256000.0,v,5886
Správa železniční dopravní ces,253750.0,v,70994234
"ČEPS, a.s.",250000.0,v,25702556
ABB s.r.o.,245250.0,s,49682563
Vysoké učení technické v Brně,223809.0,vz,216305
SUDOP PRAHA a.s.,211000.0,s,25793349
Ředitelství silnic a dálnic ČR,206500.0,v,65993390
ČR-Hasičský záchranný sbor,206000.0,v,7064
ČR - Česká obchodní inspekce,200000.0,v,20869
Technický a zkušební ústav,196180.0,v,15679
METROPROJEKT Praha a.s.,187000.0,s,45271895
HOCHTIEF CZ a.s.,164000.0,s,46678468
ČR - MO,162500.0,v,60162694
"Dalkia Česká republika, a.s.",154500.0,s,25706969
"E.ON Česká republika, s.r.o.",151750.0,s,25733591
"OHL ŽS, a.s.",143125.0,s,46342796
"ÚJV Řež, a. s.",136000.0,v,46356088
SWIETELSKY stavební s.r.o.,129000.0,s,48035599
"E.ON Servisní, s.r.o.",122500.0,s,
ČR - Ministerstvo vnitra,121652.0,v,
Hasičský záchranný sbor,121000.0,v,
Institut pro testování a certi,114250.0,s,
ČR - Hasičský záchranný sbor,109000.0,v,
TRW Automotive Czech s.r.o.,109000.0,s,
"Český institut pro akreditaci,",106500.0,v,
AŽD Praha s.r.o.,103328.0,s,
"České vysoké učení technické,",99500.0,vz,
"Chemoprojekt, a.s.",99000.0,s,
Český metrologický institut,96940.0,v,
"ČESKÁ RAFINÉRSKÁ, a.s.",96500.0,s,
"Český Aeroholding, a.s.",92000.0,v,
Subterra a.s.,92000.0,s,
Vězeňská služba ČR,92000.0,v,
Elektrizace železnic Praha a.s,92000.0,s,
Ministerstvo zemědělství ČR,91000.0,v,
"CZ LOKO, a.s.",90000.0,s,
OSTROJ a.s.,89500.0,s,
"VÍTKOVICE, a.s.",86500.0,s,
"Strojírenský zkušební ústav,",84243.0,v,
VYSOKÁ ŠKOLA BÁŇSKÁ-TECHNICKÁ,82000.0,vz,
"Česká společnost pro jakost,",78070.0,s,
"ČEPRO, a. s.",78000.0,v,
"ŽĎAS, a.s.",77500.0,s,
GE AVIATION CZECH s.r.o.,77000.0,s,
"AŽD Praha s.r.o.,",75500.0,s,
"EUROVIA CS, a.s.",74500.0,s,
"EZÚ, s.p.",74000.0,v,
"ČEZ Distribuční služby, s.r.o.",73125.0,v,
"České dráhy, a.s.",73000.0,v,
"ELTODO, a.s.",72703.0,s,
"ČKD PRAHA DIZ, a.s.",72058.0,s,
TECHNICKÁ  INSPEKCE ČR,72000.0,v,
STÁTNÍ ENERGETICKÁ INSPEKCE,70000.0,v,
"MODŘANY Power, a.s.",69500.0,s,
"PRODECO, a.s.",67750.0,s,
"SYNER, s.r.o.",67500.0,s,
VCES a.s.,67500.0,s,
"Hutní montáže, a.s.",66500.0,s,
Statutární město,65000.0,v,
Západočeská univerzita v Plzni,64500.0,vz,
"ŠKO-ENERGO, s.r.o.",63000.0,s,
"Pražská energetika,a.s.",63000.0,v,
Severočeské doly a.s.,61000.0,s,
Telefónica,60500.0,s,
I&C Energo a.s.,59500.0,s,
PUDIS a.s.,57000.0,s,
Statutární město Brno,57000.0,v,
"ORGREZ, a.s.",56500.0,s,
"DIAMO, státní podnik",56500.0,v,
"EUROVIA Services, s.r.o.",56000.0,s,
"SMP CZ, A.S.",55500.0,s,
ALSTOM s.r.o.,55500.0,s,
nkt cables s.r.o.,55000.0,s,
"Sokolovská uhelná, právní",55000.0,s,
Magna Exteriors & Interiors,54500.0,s,
"AGC Flat Glass Czech a.s.,člen",54000.0,s,
ŠKODA AUTO a.s.,52500.0,s,
"ČEZ Teplárenská, a.s.",52125.0,v,
Statutární město Ostrava,52000.0,v,
VÚKV a.s.,52000.0,s,
UNEX a.s.,51500.0,s,
"Varroc Lighting Systems, s.r.o",51262.0,s,
"Elektrárna Počerady, a.s.",51000.0,v,
EGEM s.r.o.,51000.0,s,
PKS stavby a.s.,50000.0,s,
VŠEOBECNÁ FAKULTNÍ NEMOCNICE V,50000.0,v,
Státní úřad pro jadernou bezpe,48500.0,v,
"Fyzikální ústav AV ČR, v.v.i.",48500.0,v,
"OKD, a.s.",46250.0,s,
"Honeywell, spol. s r.o.",45000.0,s,
Howden ČKD Compressors s.r.o.,45000.0,s,
"ČR - Drážní úřad,",45000.0,v,
ArcelorMittal Ostrava a.s.,44000.0,s,
Správa železniční dopravní,43500.0,v,
Pöyry Environment a.s.,43500.0,s,
ČR - Státní zemědělská a,43500.0,v,
Severočeské vodovody a kanaliz,43500.0,s,
Městská část Praha 10,43000.0,v,
Krajské ředitelství policie,43000.0,v,
GA Energo technik s.r.o.,43000.0,s,
ČEZ ENERGOSERVIS spol. s r.o.,42625.0,v,
"TES VSETÍN, s.r.o.",42125.0,s,
"Devro, s.r.o.",42000.0,s,
"BAK stavební společnost, a.s.",41500.0,s,
Zdravotní ústav se sídlem v Os,41500.0,v,
ALPINE Bau CZ s.r.o.,41500.0,s,
"ČEZ Energetické služby, s.r.o.",41000.0,v,
INSET s.r.o.,40500.0,s,
OTIS a.s.,40000.0,s,
Masarykova univerzita,39500.0,vz,
"Schneider Electric CZ, s.r.o.",39500.0,s,
PSG-International a.s.,39000.0,s,
"Elektrárny Opatovice, a.s.",39000.0,s,
"ELLA-CS, s.r.o.",38627.0,s,
OEZ s.r.o.,38500.0,s,
ENPRO Energo s.r.o.,38500.0,s,
Alpiq Generation (CZ) s.r.o.,37500.0,s,
M - SILNICE a.s.,37500.0,s,
HBH Projekt spol. s r.o.,37500.0,s,
MVV Energie CZ a.s.,37000.0,s,
VRV a.s.,37000.0,s,
"Vojenský technický ústav, s.p.",36730.0,v,
Sellier&Bellot a.s.,36385.0,s,
Hyundai Motor Manufacturing Cz,36000.0,s,
Jihostroj a.s.,35500.0,s,
Institut plánování a rozvoje,35000.0,v,
ŽPSV a.s.,35000.0,s,
"COLAS CZ, a.s.",35000.0,s,
Odborový svaz KOVO,35000.0,s,
"PRAGOPROJEKT, a.s.",34500.0,s,
TPCA s.r.o.,34000.0,s,
"Procter & Gamble - Rakona,",34000.0,s,
"Bosch Rexroth, spol. s r.o.",33500.0,s,
Všeobecná zdravotní pojišťovna,33500.0,v,
Eaton Elektrotechnika s.r.o.,33000.0,s,
Jihočeský kraj,33000.0,v,
"EVRAZ VÍTKOVICE STEEL, a.s.",32500.0,s,
Mendelova univerzita v Brně,32500.0,vz,
"Zkušebnictví, a.s.",32492.0,s,
Momentive Speciality Chemicals,32000.0,s,
"DIAMO,státní podnik",32000.0,v,
UNISTAV a.s.,32000.0,s,
BRUSH SEM s.r.o.,32000.0,s,
MITAS a.s.,31929.0,s,
Česká komora autorizovaných,31750.0,s,
Constellium Extrusions Děčín s,31662.0,s,
Saint-Gobain-Divize Isover,31500.0,s,
ČR - Energetický regulační,31500.0,v,
